Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800101001,62,61,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800201001,1826,1600,226,134,8,3,5,13,6,9,7,74,1,0,1,9,0,7,0,0,81,5,5,4,12,18,5,9,2,1,0,1,10,1,1,0,0
2800201002,2285,1741,544,318,3,7,3,5,12,7,4,275,16,4,12,79,0,70,3,0,118,11,5,4,25,13,7,12,0,9,12,1,10,13,11,0,0
2800301001,246,233,13,11,0,0,0,2,0,0,3,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800401001,2625,2141,484,99,1,1,2,5,10,11,2,65,8,0,0,222,2,218,0,0,145,13,10,0,78,3,8,9,0,9,0,0,3,10,9,1,0
2800401002,2772,2371,401,158,2,11,2,4,15,3,1,116,3,0,0,144,0,142,0,0,91,9,2,0,41,4,5,3,5,6,4,0,5,5,1,0,0
2800401003,3078,2641,437,94,1,0,1,7,2,3,2,76,8,2,4,228,0,228,0,0,101,3,3,3,47,7,1,18,3,4,0,0,2,6,6,0,0
2800501001,1571,1239,332,222,9,7,13,12,17,1,0,145,6,0,6,11,0,5,0,0,71,7,1,7,14,9,4,7,0,8,6,0,0,22,14,0,0
2800501002,999,787,212,126,3,21,4,4,13,3,1,73,19,1,17,2,0,1,0,0,57,8,0,8,10,2,2,4,0,8,2,0,9,8,0,0,0
2800501003,1928,1469,459,325,7,31,8,16,31,8,3,209,22,1,11,13,4,3,4,0,87,11,1,2,9,4,1,14,1,25,3,3,2,12,8,1,0
2800501004,1424,1175,249,150,1,2,2,8,0,3,2,128,9,0,9,8,0,0,5,0,64,7,0,6,4,7,5,11,0,6,8,2,2,18,17,0,0
2800501005,1237,992,245,126,5,10,12,13,4,0,6,69,23,2,19,16,1,1,8,1,46,14,0,2,8,1,3,3,0,4,1,0,3,34,29,0,0
2800501006,1400,1179,221,123,6,11,1,1,9,2,1,92,18,1,9,9,3,4,2,0,53,2,0,11,8,4,0,9,3,3,6,0,1,18,16,0,0
2800501007,1396,1158,238,152,1,15,1,0,9,3,1,120,12,0,8,25,0,2,21,0,45,1,1,4,16,0,0,3,0,4,10,0,5,4,2,0,0
2800501008,942,726,216,141,2,9,2,0,23,1,0,104,6,0,4,18,1,0,15,0,50,1,0,5,10,2,5,3,0,0,15,1,6,1,1,0,0
2800501009,1290,984,306,194,1,20,0,2,17,2,1,150,20,1,18,29,0,24,0,0,52,3,0,2,10,2,0,8,1,12,4,1,1,10,10,0,1
2800501010,1389,1139,250,187,1,34,1,5,17,4,0,120,4,2,0,14,1,8,0,0,37,1,1,4,2,1,1,0,0,3,13,3,1,8,8,0,0
2800501011,1536,1114,422,312,1,70,3,9,28,4,2,192,7,1,6,38,10,17,1,0,45,1,1,1,30,1,0,0,0,1,4,0,3,20,19,0,0
2800501012,1650,1192,458,318,2,25,0,2,66,3,0,219,42,0,40,26,0,8,4,9,59,5,3,5,6,1,4,18,0,1,5,0,10,13,8,0,0
2800501013,1045,774,271,191,5,6,1,9,13,3,3,148,20,0,16,7,0,1,0,0,40,7,0,4,19,1,0,0,0,2,6,1,0,13,9,1,0
2800501014,1344,1029,315,208,3,15,3,4,39,5,3,132,9,1,7,12,0,4,0,0,83,8,1,20,24,3,0,2,1,12,5,0,1,3,0,0,0
2800501015,2625,1847,778,537,7,41,6,18,40,3,9,403,45,0,34,42,0,12,20,0,114,12,5,10,9,1,4,15,3,9,24,3,5,40,17,0,0
2800501016,1333,880,453,290,1,12,3,8,18,5,2,237,9,3,6,40,0,7,13,0,89,7,3,13,19,5,2,8,2,4,9,4,8,25,24,1,0
2800501017,1179,720,459,320,0,43,0,3,16,2,1,252,29,0,29,49,0,10,24,2,59,0,3,1,10,2,0,16,0,16,10,0,0,2,0,0,0
2800501018,1436,887,549,335,1,38,2,1,20,7,0,265,36,0,36,51,2,18,9,6,91,3,1,4,12,0,0,40,3,12,11,0,0,36,35,0,0
2800501019,868,552,316,216,1,11,0,0,26,0,0,178,15,0,13,16,1,7,1,1,63,3,8,6,9,1,0,10,0,15,8,0,1,6,5,0,0
2800501020,1119,584,535,347,1,26,1,1,16,2,1,295,57,0,55,41,0,28,10,0,72,0,5,4,17,3,5,18,0,12,7,0,0,18,18,0,0
2800501021,1667,1313,354,212,1,3,3,11,42,14,1,136,20,0,15,21,0,1,2,1,63,0,0,14,15,0,0,10,0,5,14,0,0,38,36,0,0
2800501022,2098,1443,655,451,1,74,1,5,51,12,0,305,44,2,39,24,0,5,19,0,117,7,4,12,34,4,0,15,2,21,12,1,0,19,18,0,0
2800501023,1379,1120,259,129,2,5,5,3,20,0,3,86,22,1,17,10,1,1,6,0,90,1,2,9,16,9,0,8,4,10,9,0,15,8,7,0,0
2800501024,1408,1169,239,143,4,26,1,2,23,0,2,83,22,3,17,18,0,2,7,0,44,2,1,8,2,1,1,3,0,8,8,0,1,12,12,0,0
2800502001,1419,1049,370,225,4,44,0,0,24,6,2,143,24,0,18,44,0,23,7,2,67,0,1,2,17,5,0,20,1,8,8,0,4,10,9,0,0
2800502002,1252,947,305,229,0,34,0,1,30,0,0,163,5,0,2,15,5,1,4,1,55,4,0,4,18,0,1,5,1,2,12,0,6,1,0,0,0
2800502003,1629,1260,369,246,1,42,1,2,33,3,0,164,15,0,8,22,0,2,12,0,74,1,0,4,20,0,0,19,3,12,10,0,2,12,12,0,0
2800502004,1652,1019,633,297,4,62,0,8,33,4,0,181,10,0,5,210,1,49,82,12,107,6,0,3,14,2,1,42,0,13,19,0,6,9,9,0,0
2800502005,1432,997,435,176,1,20,1,0,1,5,0,146,13,2,9,127,0,26,28,29,107,3,2,1,23,1,0,42,0,14,9,0,1,12,12,0,0
2800502006,2067,1425,642,293,4,32,2,0,32,4,0,209,32,0,24,194,0,27,62,26,111,0,4,2,34,0,5,46,0,0,19,0,1,12,11,0,0
2800502007,2015,1412,603,313,3,38,1,4,22,8,1,226,6,0,3,157,0,30,66,15,120,2,9,10,19,13,0,26,1,22,12,4,0,7,5,0,0
2800502008,2107,1528,579,236,2,28,1,0,19,15,0,165,3,0,3,187,2,21,98,25,150,4,1,3,31,3,3,38,0,26,25,0,9,3,0,0,0
2800502009,911,631,280,129,1,1,0,0,10,5,0,111,1,0,1,84,0,6,25,15,65,5,0,1,22,1,0,14,0,18,4,0,0,1,1,0,0
2800502010,1566,1082,484,298,1,20,0,2,13,2,1,254,6,0,6,121,0,16,57,20,56,0,1,2,5,3,8,17,0,4,15,0,1,3,3,0,0
2800502011,1495,1237,258,98,1,12,0,0,5,1,1,74,21,0,20,89,0,26,31,0,42,1,0,0,5,0,1,5,2,11,16,0,0,8,8,0,0
2800502012,1360,1056,304,147,2,9,0,0,16,5,0,114,20,0,19,121,0,32,32,2,16,1,0,1,3,2,0,5,0,1,0,0,0,0,0,0,0
2800502013,896,748,148,83,0,18,0,0,10,2,0,53,12,0,12,24,0,9,9,0,28,0,0,1,5,1,0,12,0,5,1,1,2,0,0,0,1
2800502014,1080,820,260,164,1,16,3,5,14,1,0,121,24,2,12,36,0,18,8,2,34,4,0,1,9,1,6,1,0,1,2,0,3,2,0,0,0
2800502015,930,784,146,77,0,10,0,2,8,2,0,55,0,0,0,41,0,13,14,2,28,0,0,6,3,0,0,14,4,0,1,0,0,0,0,0,0
2800502016,1556,1216,340,226,0,26,2,7,38,2,0,151,32,0,19,25,0,4,7,1,40,1,0,6,8,0,1,5,0,5,9,5,0,17,17,0,0
2800502017,1353,970,383,186,2,23,0,2,4,4,0,146,7,0,2,112,7,17,56,1,78,2,0,1,24,2,1,15,0,11,21,0,0,0,0,0,0
2800502018,2012,1552,460,325,0,50,1,8,29,1,1,232,6,0,6,24,0,7,5,0,89,3,0,15,26,1,3,11,0,6,10,0,7,16,14,1,0
2800502019,2409,1758,651,471,5,59,3,3,22,12,1,364,20,1,12,83,4,42,20,0,72,2,0,12,18,5,1,20,0,2,5,1,6,5,0,2,0
2800502020,2106,1547,559,460,1,78,0,3,151,5,0,219,9,2,7,23,0,0,2,3,57,1,0,7,12,2,1,14,0,2,13,1,3,10,9,0,0
2800502021,1833,1314,519,346,0,50,1,5,74,6,0,208,22,2,11,34,1,11,3,6,112,12,2,3,22,2,6,29,3,14,14,0,3,5,5,0,0
2800502022,1493,1098,395,240,0,16,0,0,78,3,1,142,21,1,19,77,0,12,30,11,54,0,0,0,9,2,0,16,2,16,6,3,0,3,3,0,0
2800502023,1199,842,357,185,2,10,0,2,38,2,0,131,6,0,4,83,0,11,28,5,78,0,1,4,17,1,2,31,2,11,8,0,0,5,0,0,0
2800502024,1821,1393,428,254,4,11,0,1,40,5,0,188,8,0,7,87,8,26,40,3,64,2,1,3,13,5,1,8,1,7,17,2,3,15,8,1,0
2800502025,1643,1210,433,301,1,73,0,1,54,10,2,157,12,2,7,53,0,3,22,4,46,1,2,0,11,0,0,10,1,14,3,2,0,21,16,0,0
2800502026,1961,1385,576,396,1,45,2,4,42,3,3,291,18,2,12,41,0,9,16,0,111,9,0,15,32,1,1,13,2,8,9,7,4,10,7,0,0
2800502027,1753,1460,293,188,1,12,0,2,47,9,0,103,11,1,9,56,9,24,18,0,37,1,1,3,10,0,0,4,1,4,5,2,0,1,0,0,0
2800502028,1910,1718,192,151,3,15,2,6,35,3,0,83,5,0,5,8,1,4,1,0,27,0,0,4,6,6,1,7,0,0,1,2,0,1,0,0,0
2800502029,1435,1390,45,24,2,0,2,2,2,0,1,14,1,0,0,1,0,1,0,0,15,1,0,1,0,0,0,8,0,4,0,0,0,4,3,0,0
2800502030,1118,881,237,164,0,14,0,1,39,5,0,105,12,0,12,15,0,2,0,1,40,1,0,0,13,1,1,5,0,14,1,1,2,6,4,0,0
2800502031,2015,1936,79,40,0,0,2,2,7,0,2,26,3,2,1,11,7,4,0,0,17,2,0,0,6,0,0,0,1,0,2,0,4,8,7,0,0
2800502032,1568,1314,254,153,0,22,1,6,15,2,0,106,30,0,17,20,0,1,12,0,42,4,0,0,8,3,2,11,0,0,6,4,2,9,8,0,0
2800502033,1607,1254,353,208,4,20,0,5,51,5,0,121,12,0,12,50,5,1,24,9,57,0,0,8,10,0,0,12,0,10,11,0,6,26,24,0,0
2800502034,1790,1326,464,366,1,45,1,7,50,1,0,258,19,1,17,20,5,4,6,0,36,1,2,6,16,1,0,0,0,0,3,0,1,23,23,0,0
2800502035,1986,1561,425,267,1,32,0,13,14,4,0,201,22,1,20,63,3,2,22,5,65,11,0,0,6,4,2,8,0,7,16,0,0,8,3,3,0
2800502036,2096,1568,528,405,1,10,1,5,68,7,1,311,20,0,16,46,0,4,27,0,51,2,0,9,25,2,0,2,0,2,5,2,2,6,5,0,0
2800502037,1213,931,282,215,2,25,0,1,56,1,0,128,20,0,18,10,0,7,0,0,26,4,0,3,6,0,4,3,0,3,0,0,0,11,4,0,0
2800503001,1777,1267,510,326,0,32,3,4,22,4,0,258,10,1,8,47,2,11,9,0,107,2,4,3,28,11,1,17,1,20,13,2,2,20,15,5,0
2800503002,1372,946,426,297,0,13,1,7,23,4,0,247,16,2,13,58,0,31,18,0,40,5,2,0,7,0,0,11,0,3,4,4,3,15,11,1,0
2800503003,1496,832,664,504,1,75,7,1,39,6,0,371,49,0,48,23,0,8,6,0,79,3,10,7,9,9,1,22,5,8,4,1,0,9,8,0,0
2800503004,1679,1383,296,210,1,31,1,8,19,5,0,144,22,0,22,25,0,2,14,0,32,3,5,5,2,0,1,1,2,9,2,0,1,7,7,0,0
2800503005,1320,784,536,352,3,42,0,4,22,0,0,278,51,2,35,78,0,31,25,0,45,0,3,5,12,2,0,9,0,7,4,1,1,10,10,0,0
2800503006,1991,1397,594,464,0,25,1,8,17,4,1,407,14,0,10,28,0,7,6,0,58,1,0,9,10,0,3,15,1,11,6,0,0,30,29,0,0
2800503007,1077,780,297,190,1,25,0,1,5,1,0,156,16,1,5,33,0,26,6,0,47,2,1,1,6,0,1,10,5,9,11,0,0,11,11,0,0
2800503008,1448,1034,414,368,2,16,1,4,16,8,1,317,11,0,3,9,0,1,6,0,26,0,0,1,1,0,0,9,0,6,4,0,0,0,0,0,0
2800503009,899,634,265,163,0,20,0,1,11,1,0,130,15,0,10,46,0,30,2,0,39,0,0,2,10,3,0,6,0,15,3,0,0,2,0,0,0
