Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800101001,66,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800201001,2127,1877,250,142,5,8,3,9,5,11,11,86,7,1,5,22,0,16,0,0,72,5,3,1,6,7,4,5,1,4,4,2,3,7,7,0,0
2800201002,2328,1974,354,220,1,4,3,10,7,2,0,191,3,2,1,44,0,37,1,0,73,2,0,2,14,17,1,2,1,13,3,0,14,14,11,0,0
2800301001,199,195,4,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800401001,2809,2438,371,89,0,0,2,6,5,1,2,73,0,0,0,169,0,164,0,0,89,6,2,8,25,8,4,13,3,9,0,0,9,24,12,10,0
2800401002,2942,2596,346,119,0,5,0,5,10,6,2,87,12,0,7,139,0,136,1,0,75,7,6,0,14,6,2,1,1,1,13,7,7,1,0,0,0
2800401003,1961,1669,292,90,0,4,1,7,1,2,0,75,4,0,3,132,0,132,0,0,47,1,0,4,12,12,3,3,2,0,4,0,0,19,10,6,0
2800401004,1437,1291,146,48,1,0,0,0,4,3,0,40,4,2,0,64,0,62,0,0,23,3,0,0,4,5,0,4,0,1,2,0,1,7,7,0,0
2800501001,1603,1337,266,116,6,5,4,6,13,1,5,70,14,3,8,16,0,6,2,1,71,6,0,6,5,4,5,2,1,6,5,0,11,49,43,0,0
2800501002,999,833,166,84,1,8,0,5,10,0,2,58,13,0,11,15,0,2,0,0,32,0,0,3,2,1,0,4,2,5,1,0,5,22,13,2,0
2800501003,1795,1485,310,167,1,25,2,15,7,2,5,106,21,3,16,22,8,8,3,1,64,2,2,5,11,1,0,2,0,4,2,0,17,36,27,1,0
2800501004,1358,1128,230,129,0,1,0,3,4,1,0,119,11,1,5,17,0,2,5,0,42,2,1,1,7,2,3,5,1,3,7,0,6,31,28,0,0
2800501005,1304,1103,201,98,2,1,5,11,6,3,6,59,7,0,6,19,1,10,3,0,34,3,0,5,5,2,2,4,0,1,0,0,0,43,37,0,0
2800501006,1289,1167,122,75,1,15,1,4,1,0,2,47,3,1,0,4,0,2,0,0,23,1,0,3,4,0,1,2,1,1,5,0,1,17,15,0,0
2800501007,1265,1105,160,89,0,4,0,4,8,3,0,69,11,0,11,21,1,4,14,0,33,0,0,6,4,0,2,3,0,5,5,0,5,6,6,0,0
2800501008,777,659,118,81,1,7,0,2,6,0,1,64,0,0,0,8,0,6,2,0,17,3,0,0,5,0,1,5,0,1,2,0,0,12,10,2,0
2800501009,1131,950,181,117,2,15,0,2,7,0,0,90,26,0,26,13,0,3,3,6,9,0,0,1,1,0,0,0,2,1,2,0,2,15,15,0,1
2800501010,941,793,148,81,0,5,0,1,6,0,2,66,2,1,0,8,0,6,0,0,36,8,0,7,1,1,4,1,1,0,3,0,7,21,19,1,0
2800501011,1415,1133,282,166,0,34,2,5,10,1,2,111,18,0,18,18,2,10,4,0,44,3,0,7,12,3,3,0,1,0,8,0,4,36,29,3,0
2800501012,1912,1552,360,248,1,15,2,2,24,0,3,199,55,0,52,15,0,7,1,0,21,0,0,2,2,1,3,1,0,1,4,0,6,21,9,7,0
2800501013,975,780,195,107,1,13,2,0,8,5,4,72,19,0,16,5,0,1,0,0,31,1,0,2,7,3,0,3,0,1,11,0,0,33,32,0,0
2800501014,1286,1062,224,127,2,12,1,3,3,1,3,99,25,1,24,0,0,0,0,0,58,5,0,9,18,3,0,2,0,0,8,1,7,14,8,0,0
2800501015,2374,1820,554,337,8,17,0,10,15,1,6,276,32,2,23,57,0,19,28,1,74,3,1,7,9,2,1,15,1,6,13,1,4,54,44,4,0
2800501016,1163,916,247,142,3,7,0,3,4,3,1,118,16,2,11,23,3,8,1,0,41,2,0,3,10,4,1,1,4,3,6,2,3,25,21,0,0
2800501017,1072,692,380,249,0,30,1,4,5,0,1,205,34,1,25,41,0,6,5,1,39,1,0,1,5,6,0,6,1,7,3,1,5,17,9,6,0
2800501018,1287,880,407,224,1,20,1,4,8,5,2,182,27,0,21,39,0,11,10,0,84,4,0,2,9,2,1,22,3,2,22,5,0,33,27,3,0
2800501020,1656,1099,557,352,0,15,0,1,27,4,1,301,42,0,39,48,0,30,9,0,77,4,3,14,13,8,2,8,3,2,12,0,4,38,31,0,0
