CUSEC;%EXTR_11;%EXTR_15;%EXTR_16;%EXTR_17;POBL_11;POBL_15;POBL_16;POBL_17
2800101001;1.61;1.54;1.52;1.52;62.0;65.0;66.0;66
2800201001;12.38;12.68;12.51;11.75;1826.0;2051.0;2134.0;2127
2800201002;23.81;16.67;16.0;15.21;2285.0;2292.0;2306.0;2328
2800301001;5.28;2.3;2.4;2.01;246.0;217.0;208.0;199
2800401001;18.44;13.85;13.12;13.21;2625.0;2795.0;2781.0;2809
2800401002;14.47;12.01;11.52;11.76;2772.0;2939.0;2873.0;2942
2800401003;14.2;17.04;16.79;14.89;3078.0;1854.0;1942.0;1961
2800401004;;10.09;9.99;10.16;;1377.0;1421.0;1437
2800501001;21.13;17.12;16.94;16.59;1571.0;1519.0;1594.0;1603
2800501002;21.22;19.86;17.17;16.62;999.0;1027.0;996.0;999
2800501003;23.81;19.92;16.52;17.27;1928.0;1822.0;1768.0;1795
2800501004;17.49;16.34;17.49;16.94;1424.0;1334.0;1372.0;1358
2800501005;19.81;16.21;15.49;15.41;1237.0;1302.0;1285.0;1304
2800501006;15.79;13.02;11.6;9.46;1400.0;1352.0;1310.0;1289
2800501007;17.05;14.54;11.56;12.65;1396.0;1300.0;1254.0;1265
2800501008;22.93;18.82;15.58;15.19;942.0;845.0;783.0;777
2800501009;23.72;18.13;15.79;16.0;1290.0;1147.0;1127.0;1131
2800501010;18.0;17.9;16.82;15.73;1389.0;1011.0;975.0;941
2800501011;27.47;24.24;21.46;19.93;1536.0;1477.0;1440.0;1415
2800501012;27.76;21.29;20.26;18.83;1650.0;1987.0;1935.0;1912
2800501013;25.93;24.23;21.88;20.0;1045.0;1040.0;1010.0;975
2800501014;23.44;20.69;18.47;17.42;1344.0;1329.0;1283.0;1286
2800501015;29.64;27.13;25.49;23.34;2625.0;2484.0;2460.0;2374
2800501016;33.98;26.82;24.07;21.24;1333.0;1253.0;1213.0;1163
2800501017;38.93;38.13;36.68;35.45;1179.0;1154.0;1096.0;1072
2800501018;38.23;34.84;33.41;31.62;1436.0;1346.0;1317.0;1287
2800501020;47.81;38.02;33.85;33.64;1119.0;1807.0;1684.0;1656
2800501021;21.24;19.69;18.19;17.8;1667.0;1554.0;1517.0;1489
2800501022;31.22;27.75;27.2;26.2;2098.0;1924.0;1871.0;1874
2800501023;18.78;18.34;18.22;16.86;1379.0;1303.0;1301.0;1281
2800501024;16.97;16.28;12.95;10.57;1408.0;1394.0;1375.0;1344
2800502001;26.07;22.12;20.63;19.05;1419.0;1347.0;1357.0;1328
2800502002;24.36;19.58;18.01;17.28;1252.0;1154.0;1138.0;1082
2800502003;22.65;21.18;20.51;19.21;1629.0;1553.0;1560.0;1515
2800502004;38.32;27.38;25.99;24.81;1652.0;1428.0;1439.0;1427
2800502005;30.38;25.47;25.11;25.05;1432.0;1370.0;1386.0;1369
2800502006;31.06;24.0;22.51;21.34;2067.0;1896.0;1857.0;1804
2800502007;29.93;22.94;22.39;21.72;2015.0;1944.0;1934.0;1911
2800502008;27.48;19.87;18.38;18.3;2107.0;2370.0;2356.0;2415
2800502009;30.74;23.92;23.66;25.32;911.0;786.0;782.0;774
2800502010;30.91;24.69;23.08;23.01;1566.0;1462.0;1443.0;1443
2800502011;17.26;14.21;14.73;15.1;1495.0;1379.0;1365.0;1358
2800502012;22.35;17.1;16.13;14.26;1360.0;1234.0;1221.0;1164
2800502013;16.52;16.0;15.9;14.29;896.0;819.0;824.0;798
2800502014;24.07;23.45;21.25;21.41;1080.0;1032.0;1026.0;1023
2800502015;15.7;9.92;9.03;8.81;930.0;827.0;808.0;817
2800502016;21.85;19.92;18.02;16.11;1556.0;1446.0;1415.0;1366
2800502017;28.31;18.65;17.21;17.64;1353.0;1153.0;1145.0;1128
2800502018;22.86;19.43;17.06;16.12;2012.0;1899.0;1805.0;1799
2800502019;27.02;23.81;22.51;22.7;2409.0;2272.0;2208.0;2150
2800502020;26.54;23.42;22.55;21.87;2106.0;1994.0;1978.0;1916
2800502021;28.31;24.28;22.13;20.08;1833.0;1771.0;1744.0;1663
2800502022;26.46;22.41;20.56;19.73;1493.0;1330.0;1284.0;1262
2800502023;29.77;27.82;24.02;22.06;1199.0;1161.0;1120.0;1106
2800502024;23.5;19.6;18.81;19.6;1821.0;1689.0;1659.0;1663
2800502025;26.35;23.31;21.58;20.79;1643.0;1536.0;1529.0;1496
2800502026;29.37;24.27;22.23;21.43;1961.0;1825.0;1781.0;1773
2800502027;16.71;15.48;16.12;15.06;1753.0;1654.0;1687.0;1660
2800502028;10.05;8.31;6.79;5.53;1910.0;1865.0;1841.0;1808
2800502029;3.14;2.87;2.35;1.91;1435.0;1464.0;1448.0;1417
2800502030;21.2;16.22;15.97;15.18;1118.0;1042.0;1046.0;1054
2800502031;3.92;4.03;3.77;3.67;2015.0;1887.0;1885.0;1797
2800502032;16.2;15.45;15.22;16.0;1568.0;1463.0;1432.0;1406
2800502033;21.97;16.59;13.82;14.34;1607.0;1465.0;1411.0;1430
2800502034;25.92;18.79;16.83;15.96;1790.0;1639.0;1569.0;1554
2800502035;21.4;17.58;15.9;14.54;1986.0;1888.0;1830.0;1823
2800502036;25.19;19.15;16.18;14.06;2096.0;1927.0;1879.0;1835
2800502037;23.25;20.28;17.86;15.01;1213.0;1149.0;1103.0;1059
2800503001;28.7;26.03;24.13;22.46;1777.0;1748.0;1674.0;1607
2800503002;31.05;29.03;25.44;23.3;1372.0;1309.0;1262.0;1223
2800503003;44.39;41.94;40.13;39.13;1496.0;1402.0;1358.0;1329
2800503004;17.63;17.77;16.11;15.74;1679.0;1542.0;1521.0;1512
2800503005;40.61;35.24;31.71;30.71;1320.0;1152.0;1126.0;1107
2800503006;29.83;25.53;22.5;21.57;1991.0;1884.0;1787.0;1757
2800503007;27.58;21.9;19.96;18.97;1077.0;2361.0;2269.0;2267
2800503008;28.59;26.48;23.34;21.39;1448.0;1382.0;1328.0;1253
2800503009;29.48;28.02;26.96;27.44;899.0;1549.0;1517.0;1487
2800503011;24.97;23.58;20.41;21.72;1742.0;1624.0;1548.0;1533
2800503012;27.45;23.37;21.09;19.11;1581.0;1515.0;1456.0;1423
2800503013;15.17;4.74;4.66;4.9;2868.0;1518.0;1565.0;1591
2800503014;17.45;15.91;14.87;15.22;2441.0;2716.0;2811.0;2890
2800503015;5.7;4.76;4.46;4.41;2192.0;2353.0;2400.0;2427
2800503016;10.25;7.39;7.49;7.02;2165.0;2327.0;2336.0;2293
2800503017;9.09;6.89;5.87;5.34;2013.0;2149.0;2148.0;2153
2800504001;13.59;14.01;12.92;14.55;2672.0;2912.0;2849.0;3004
2800504002;4.53;3.41;3.92;3.73;1591.0;1615.0;1634.0;1635
2800504003;6.75;4.43;3.78;4.38;1764.0;1828.0;1824.0;1848
2800504004;6.09;4.42;3.6;3.42;1444.0;1424.0;1388.0;1402
2800504005;8.33;9.65;9.9;8.79;1789.0;1866.0;1878.0;1854
2800504006;8.28;6.71;6.73;7.63;2064.0;2073.0;2051.0;2057
2800504007;6.0;5.21;4.62;3.8;2218.0;2322.0;2339.0;2420
2800504008;5.81;4.34;3.57;3.81;2186.0;2233.0;2214.0;2233
2800504009;9.59;8.45;7.83;8.2;1595.0;2225.0;2197.0;2206
2800504010;9.85;7.42;7.01;6.24;2416.0;2413.0;2396.0;2386
2800504011;7.21;5.67;4.83;4.89;2373.0;2470.0;2482.0;2495
2800504012;14.5;15.1;14.8;13.85;1821.0;1821.0;1824.0;1790
2800504013;2.99;2.5;2.6;2.61;1805.0;2038.0;2080.0;2067
2800504014;7.84;6.56;5.48;5.06;1913.0;1937.0;1916.0;1917
2800504015;8.61;9.16;10.08;9.8;1929.0;1267.0;1260.0;1224
2800504016;5.49;3.49;2.26;2.28;1677.0;1632.0;1635.0;1621
2800504017;;5.15;4.96;4.58;;2542.0;2922.0;3519
2800505001;41.93;36.47;34.56;33.52;1481.0;1286.0;1279.0;1250
2800505002;28.52;26.29;25.32;24.26;1953.0;1841.0;1793.0;1752
2800505003;29.61;25.73;23.1;21.5;1861.0;1737.0;1619.0;1586
2800505004;25.53;21.9;22.16;21.0;1449.0;1365.0;1363.0;1305
2800505005;24.54;24.18;22.06;19.73;1414.0;1336.0;1283.0;1252
2800505006;18.67;15.61;15.67;14.19;991.0;897.0;887.0;860
2800505007;12.38;11.06;9.68;9.06;2068.0;2007.0;1984.0;1953
2800505008;19.57;14.14;14.43;11.72;1175.0;1061.0;1074.0;998
2800505009;22.64;20.3;19.41;18.49;1590.0;1463.0;1422.0;1390
2800505010;23.22;24.37;24.56;23.55;900.0;870.0;843.0;811
2800505011;27.41;21.78;21.96;21.9;1569.0;1437.0;1421.0;1402
2800505012;33.26;27.51;26.2;23.97;2147.0;1956.0;1901.0;1861
2800505013;3.95;2.89;2.37;2.8;1140.0;1107.0;1098.0;1071
2800505014;18.21;15.9;13.19;12.93;2466.0;2371.0;2305.0;2259
2800505015;7.91;5.68;4.26;3.34;1580.0;1497.0;1456.0;1436
2800505016;7.35;6.18;5.41;6.0;1034.0;955.0;942.0;967
2800505017;36.09;34.8;31.1;27.17;2156.0;2003.0;1839.0;1752
