CUSEC,DISTRITO-SECCION,BARRIO,TRAMO,RENTAMEDIA
2807901001,01 - 001,11,9,Entre  46.300€ y 58.390€
2807901002,01 - 002,11,4,Entre 25.295€ y 27.760€
2807901003,01 - 003,11,5,Entre 27.760€ y 31.040€
2807901004,01 - 004,11,8,Entre 39.755€ y 46.300€
2807901006,01 - 006,11,7,Entre 34.950€ y 39.755€
2807901007,01 - 007,11,6,Entre 31.040€ y 34.950€
2807901008,01 - 008,11,6,Entre 31.040€ y 34.950€
2807901009,01 - 009,11,6,Entre 31.040€ y 34.950€
2807901011,01 - 011,11,6,Entre 31.040€ y 34.950€
2807901012,01 - 012,11,4,Entre 25.295€ y 27.760€
2807901013,01 - 013,11,2,Entre 21.215€ y 23.140€
2807901014,01 - 014,11,5,Entre 27.760€ y 31.040€
2807901015,01 - 015,11,5,Entre 27.760€ y 31.040€
2807901016,01 - 016,11,6,Entre 31.040€ y 34.950€
2807901018,01 - 018,11,6,Entre 31.040€ y 34.950€
2807901019,01 - 019,11,6,Entre 31.040€ y 34.950€
2807901020,01 - 020,11,5,Entre 27.760€ y 31.040€
2807901021,01 - 021,11,5,Entre 27.760€ y 31.040€
2807901022,01 - 022,12,4,Entre 25.295€ y 27.760€
2807901023,01 - 023,12,2,Entre 21.215€ y 23.140€
2807901024,01 - 024,12,2,Entre 21.215€ y 23.140€
2807901025,01 - 025,12,6,Entre 31.040€ y 34.950€
2807901026,01 - 026,12,5,Entre 27.760€ y 31.040€
2807901027,01 - 027,12,5,Entre 27.760€ y 31.040€
2807901028,01 - 028,12,3,Entre 23.140€ y 25.295€
2807901029,01 - 029,12,3,Entre 23.140€ y 25.295€
2807901030,01 - 030,12,1,Menos de 21.215€
2807901031,01 - 031,12,1,Menos de 21.215€
2807901032,01 - 032,12,4,Entre 25.295€ y 27.760€
2807901033,01 - 033,12,1,Menos de 21.215€
2807901034,01 - 034,12,1,Menos de 21.215€
2807901035,01 - 035,12,2,Entre 21.215€ y 23.140€
2807901036,01 - 036,12,1,Menos de 21.215€
2807901037,01 - 037,12,2,Entre 21.215€ y 23.140€
2807901038,01 - 038,12,1,Menos de 21.215€
2807901039,01 - 039,12,2,Entre 21.215€ y 23.140€
2807901040,01 - 040,12,3,Entre 23.140€ y 25.295€
2807901041,01 - 041,12,3,Entre 23.140€ y 25.295€
2807901042,01 - 042,12,3,Entre 23.140€ y 25.295€
2807901043,01 - 043,12,1,Menos de 21.215€
2807901045,01 - 045,12,3,Entre 23.140€ y 25.295€
2807901046,01 - 046,12,3,Entre 23.140€ y 25.295€
2807901047,01 - 047,12,1,Menos de 21.215€
2807901048,01 - 048,12,1,Menos de 21.215€
2807901049,01 - 049,12,1,Menos de 21.215€
2807901050,01 - 050,12,1,Menos de 21.215€
2807901051,01 - 051,12,1,Menos de 21.215€
2807901053,01 - 053,12,3,Entre 23.140€ y 25.295€
2807901054,01 - 054,12,1,Menos de 21.215€
2807901055,01 - 055,12,4,Entre 25.295€ y 27.760€
2807901056,01 - 056,12,5,Entre 27.760€ y 31.040€
2807901057,01 - 057,12,6,Entre 31.040€ y 34.950€
2807901058,01 - 058,12,6,Entre 31.040€ y 34.950€
2807901059,01 - 059,12,4,Entre 25.295€ y 27.760€
2807901061,01 - 061,13,6,Entre 31.040€ y 34.950€
2807901062,01 - 062,13,5,Entre 27.760€ y 31.040€
2807901063,01 - 063,13,5,Entre 27.760€ y 31.040€
2807901064,01 - 064,13,7,Entre 34.950€ y 39.755€
2807901065,01 - 065,13,6,Entre 31.040€ y 34.950€
2807901066,01 - 066,13,3,Entre 23.140€ y 25.295€
2807901067,01 - 067,13,6,Entre 31.040€ y 34.950€
2807901068,01 - 068,13,6,Entre 31.040€ y 34.950€
2807901069,01 - 069,13,3,Entre 23.140€ y 25.295€
2807901071,01 - 071,13,8,Entre 39.755€ y 46.300€
2807901072,01 - 072,13,8,Entre 39.755€ y 46.300€
2807901073,01 - 073,14,9,Entre  46.300€ y 58.390€
2807901074,01 - 074,14,5,Entre 27.760€ y 31.040€
2807901075,01 - 075,14,4,Entre 25.295€ y 27.760€
2807901076,01 - 076,14,5,Entre 27.760€ y 31.040€
2807901077,01 - 077,14,7,Entre 34.950€ y 39.755€
2807901079,01 - 079,14,6,Entre 31.040€ y 34.950€
2807901081,01 - 081,14,4,Entre 25.295€ y 27.760€
2807901082,01 - 082,14,5,Entre 27.760€ y 31.040€
2807901084,01 - 084,14,9,Entre  46.300€ y 58.390€
2807901087,01 - 087,14,9,Entre  46.300€ y 58.390€
2807901088,01 - 088,14,8,Entre 39.755€ y 46.300€
2807901089,01 - 089,14,7,Entre 34.950€ y 39.755€
2807901090,01 - 090,15,6,Entre 31.040€ y 34.950€
2807901091,01 - 091,15,5,Entre 27.760€ y 31.040€
2807901092,01 - 092,15,5,Entre 27.760€ y 31.040€
2807901093,01 - 093,15,4,Entre 25.295€ y 27.760€
2807901094,01 - 094,15,4,Entre 25.295€ y 27.760€
2807901095,01 - 095,15,3,Entre 23.140€ y 25.295€
2807901096,01 - 096,15,2,Entre 21.215€ y 23.140€
2807901097,01 - 097,15,3,Entre 23.140€ y 25.295€
2807901098,01 - 098,15,2,Entre 21.215€ y 23.140€
2807901099,01 - 099,15,4,Entre 25.295€ y 27.760€
2807901100,01 - 100,15,4,Entre 25.295€ y 27.760€
2807901101,01 - 101,15,3,Entre 23.140€ y 25.295€
2807901102,01 - 102,15,4,Entre 25.295€ y 27.760€
2807901103,01 - 103,15,8,Entre 39.755€ y 46.300€
2807901104,01 - 104,15,4,Entre 25.295€ y 27.760€
2807901105,01 - 105,15,5,Entre 27.760€ y 31.040€
2807901106,01 - 106,15,8,Entre 39.755€ y 46.300€
2807901107,01 - 107,15,9,Entre  46.300€ y 58.390€
2807901108,01 - 108,15,7,Entre 34.950€ y 39.755€
2807901109,01 - 109,15,4,Entre 25.295€ y 27.760€
2807901110,01 - 110,15,4,Entre 25.295€ y 27.760€
2807901111,01 - 111,15,5,Entre 27.760€ y 31.040€
2807901112,01 - 112,15,5,Entre 27.760€ y 31.040€
2807901113,01 - 113,15,4,Entre 25.295€ y 27.760€
2807901114,01 - 114,15,4,Entre 25.295€ y 27.760€
2807901115,01 - 115,15,5,Entre 27.760€ y 31.040€
2807901116,01 - 116,15,3,Entre 23.140€ y 25.295€
2807901117,01 - 117,16,5,Entre 27.760€ y 31.040€
2807901118,01 - 118,16,3,Entre 23.140€ y 25.295€
2807901119,01 - 119,16,2,Entre 21.215€ y 23.140€
2807901120,01 - 120,16,5,Entre 27.760€ y 31.040€
2807901121,01 - 121,16,5,Entre 27.760€ y 31.040€
2807901123,01 - 123,16,5,Entre 27.760€ y 31.040€
2807901124,01 - 124,16,7,Entre 34.950€ y 39.755€
2807902001,02 - 001,21,6,Entre 31.040€ y 34.950€
2807902002,02 - 002,21,5,Entre 27.760€ y 31.040€
2807902003,02 - 003,21,8,Entre 39.755€ y 46.300€
2807902004,02 - 004,21,8,Entre 39.755€ y 46.300€
2807902005,02 - 005,21,6,Entre 31.040€ y 34.950€
2807902006,02 - 006,21,8,Entre 39.755€ y 46.300€
2807902007,02 - 007,21,8,Entre 39.755€ y 46.300€
2807902008,02 - 008,21,6,Entre 31.040€ y 34.950€
2807902009,02 - 009,21,9,Entre  46.300€ y 58.390€
2807902010,02 - 010,21,7,Entre 34.950€ y 39.755€
2807902011,02 - 011,21,8,Entre 39.755€ y 46.300€
2807902013,02 - 013,21,8,Entre 39.755€ y 46.300€
2807902014,02 - 014,21,7,Entre 34.950€ y 39.755€
2807902015,02 - 015,22,7,Entre 34.950€ y 39.755€
2807902016,02 - 016,22,9,Entre  46.300€ y 58.390€
2807902017,02 - 017,22,9,Entre  46.300€ y 58.390€
2807902018,02 - 018,22,9,Entre  46.300€ y 58.390€
2807902019,02 - 019,22,9,Entre  46.300€ y 58.390€
2807902020,02 - 020,22,8,Entre 39.755€ y 46.300€
2807902021,02 - 021,22,6,Entre 31.040€ y 34.950€
2807902022,02 - 022,22,4,Entre 25.295€ y 27.760€
2807902023,02 - 023,22,6,Entre 31.040€ y 34.950€
2807902024,02 - 024,22,6,Entre 31.040€ y 34.950€
2807902025,02 - 025,22,6,Entre 31.040€ y 34.950€
2807902026,02 - 026,22,6,Entre 31.040€ y 34.950€
2807902027,02 - 027,22,7,Entre 34.950€ y 39.755€
2807902028,02 - 028,22,1,Menos de 21.215€
2807902029,02 - 029,22,2,Entre 21.215€ y 23.140€
2807902030,02 - 030,22,7,Entre 34.950€ y 39.755€
2807902031,02 - 031,22,9,Entre  46.300€ y 58.390€
2807902032,02 - 032,23,7,Entre 34.950€ y 39.755€
2807902033,02 - 033,23,6,Entre 31.040€ y 34.950€
2807902034,02 - 034,23,7,Entre 34.950€ y 39.755€
2807902035,02 - 035,23,5,Entre 27.760€ y 31.040€
2807902036,02 - 036,23,6,Entre 31.040€ y 34.950€
2807902037,02 - 037,23,7,Entre 34.950€ y 39.755€
2807902038,02 - 038,23,6,Entre 31.040€ y 34.950€
2807902039,02 - 039,23,6,Entre 31.040€ y 34.950€
2807902040,02 - 040,23,6,Entre 31.040€ y 34.950€
2807902041,02 - 041,23,4,Entre 25.295€ y 27.760€
2807902042,02 - 042,23,6,Entre 31.040€ y 34.950€
2807902043,02 - 043,23,5,Entre 27.760€ y 31.040€
2807902044,02 - 044,23,5,Entre 27.760€ y 31.040€
2807902045,02 - 045,23,5,Entre 27.760€ y 31.040€
2807902046,02 - 046,23,1,Menos de 21.215€
2807902047,02 - 047,23,2,Entre 21.215€ y 23.140€
2807902048,02 - 048,24,5,Entre 27.760€ y 31.040€
2807902049,02 - 049,24,9,Entre  46.300€ y 58.390€
2807902050,02 - 050,25,4,Entre 25.295€ y 27.760€
2807902051,02 - 051,25,8,Entre 39.755€ y 46.300€
2807902052,02 - 052,25,8,Entre 39.755€ y 46.300€
2807902053,02 - 053,25,8,Entre 39.755€ y 46.300€
2807902054,02 - 054,25,5,Entre 27.760€ y 31.040€
2807902055,02 - 055,25,7,Entre 34.950€ y 39.755€
2807902056,02 - 056,25,5,Entre 27.760€ y 31.040€
2807902057,02 - 057,25,5,Entre 27.760€ y 31.040€
2807902058,02 - 058,25,4,Entre 25.295€ y 27.760€
2807902059,02 - 059,25,6,Entre 31.040€ y 34.950€
2807902060,02 - 060,25,6,Entre 31.040€ y 34.950€
2807902061,02 - 061,25,5,Entre 27.760€ y 31.040€
2807902062,02 - 062,25,4,Entre 25.295€ y 27.760€
