TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
02;2015;12;000379;C's;CIUDADANOS PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000382;PACMA;PARTIDO ANIMALISTA-CONTRA EL MALTRATO ANIMAL;902744;902744;902744
02;2015;12;000384;PSOE;PARTIDO SOCIALISTA OBRERO ESPAÑOL;903484;903484;903484
02;2015;12;000385;PP;PARTIDO POPULAR;903316;903316;903316
02;2015;12;000387;UPYD;UNIÓN PROGRESO Y DEMOCRACIA;904475;904475;904475
02;2015;12;000389;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;902744;902744;902744
02;2015;12;000406;UPYD;UNIÓN PROGRESO Y DEMOCRACIA;904475;904475;904475
02;2015;12;000407;PCPC;PARTIDO COMUNISTA DEL PUEBLO CANARIO;904783;904783;902816
02;2015;12;000412;C's;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000418;C´s;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000420;UPYD;UNIÓN PROGRESO Y DEMOCRACIA;904475;904475;904475
02;2015;12;000425;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;904223;904223;904223
02;2015;12;000427;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;902744;902744;902744
02;2015;12;000428;EB;ESCAÑOS EN BLANCO;901471;901471;901471
02;2015;12;000432;PSOE;PARTIDO SOCIALISTA OBRERO ESPAÑOL;903484;903484;903484
02;2015;12;000433;PSdeG-PSOE;PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE;904805;904805;903484
02;2015;12;000435;P-LIB;PARTIDO LIBERTARIO;903237;903237;903237
02;2015;12;000436;PP;PARTIDO POPULAR;903316;903316;903316
02;2015;12;000438;PSC-PSOE;PARTIT DELS SOCIALISTES DE CATALUNYA;903534;903534;903484
02;2015;12;000439;PSOE-NCa;PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS;904759;904759;903484
02;2015;12;000441;C's;CIUTADANS-PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000443;PP-FORO;PARTIDO POPULAR-FORO;904762;904762;903316
02;2015;12;000444;VOX;VOX;904688;904688;904688
02;2015;12;000445;C's;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000448;UPYD;UNIÓN PROGRESO Y DEMOCRACIA;904475;904475;904475
02;2015;12;000468;VOX;VOX;904688;904688;904688
02;2015;12;000471;SOMVAL;SOM VALENCIANS;904003;904003;904003
02;2015;12;000472;ARA, PV;ARA, PAÍS VALENCIÀ;904772;904772;904772
02;2015;12;000473;UPYD;UNIÓN PROGRESO Y DEMOCRACIA;904475;904475;904475
02;2015;12;000475;C's;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;901079;901079;901079
02;2015;12;000479;PACMA;PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL;902744;902744;902744
02;2015;12;000481;EH Bildu;EUSKAL HERRIA BILDU;901528;901528;901528
02;2015;12;000482;ARAPV;ARA, PAÍS VALENCIÀ;904772;904772;904772
02;2015;12;000484;SAIn;SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA;903985;903985;903985
02;2015;12;000486;PP;PARTIDO POPULAR;903316;903316;903316
02;2015;12;000489;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;902744;902744;902744
02;2015;12;000491;UPYD;UNIÓN PROGRESO Y DEMOCRACIA (UPYD);904475;904475;904475
02;2015;12;000495;PCPC;PARTIDO COMUNISTA DEL PUEBLO CANARIO;904783;904783;902816
02;2015;12;000496;C's;CIUDADANOS PARTIDO DE LA CIUDADANÍA;901079;901079;901079
