TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
02;2015;12;1;01;001;99;000025;00000268;000
02;2015;12;1;01;001;99;000049;00000151;000
02;2015;12;1;01;001;99;000059;00000196;000
02;2015;12;1;01;001;99;000170;00000081;000
02;2015;12;1;01;001;99;000231;00000173;000
02;2015;12;1;01;001;99;000596;00000005;000
02;2015;12;1;01;001;99;000610;00000015;000
02;2015;12;1;01;001;99;000682;00000047;000
02;2015;12;1;01;001;99;000757;00000005;000
02;2015;12;1;01;001;99;000897;00000008;000
02;2015;12;1;01;001;99;001127;00000003;000
02;2015;12;1;01;001;99;001156;00000449;000
02;2015;12;1;01;001;99;001279;00000001;000
02;2015;12;1;01;001;99;001381;00000000;000
02;2015;12;1;01;002;99;000025;00001686;000
02;2015;12;1;01;002;99;000049;00000501;000
02;2015;12;1;01;002;99;000059;00000575;000
02;2015;12;1;01;002;99;000170;00000156;000
02;2015;12;1;01;002;99;000231;00001034;000
02;2015;12;1;01;002;99;000596;00000007;000
02;2015;12;1;01;002;99;000610;00000030;000
02;2015;12;1;01;002;99;000682;00000161;000
02;2015;12;1;01;002;99;000757;00000008;000
02;2015;12;1;01;002;99;000897;00000003;000
02;2015;12;1;01;002;99;001127;00000002;000
02;2015;12;1;01;002;99;001156;00001685;000
02;2015;12;1;01;002;99;001279;00000003;000
02;2015;12;1;01;002;99;001381;00000005;000
02;2015;12;1;01;003;99;000025;00000256;000
02;2015;12;1;01;003;99;000049;00000011;000
02;2015;12;1;01;003;99;000059;00000010;000
02;2015;12;1;01;003;99;000170;00000000;000
02;2015;12;1;01;003;99;000231;00000395;000
02;2015;12;1;01;003;99;000596;00000001;000
02;2015;12;1;01;003;99;000610;00000002;000
02;2015;12;1;01;003;99;000682;00000015;000
02;2015;12;1;01;003;99;000757;00000001;000
02;2015;12;1;01;003;99;000897;00000001;000
02;2015;12;1;01;003;99;001127;00000001;000
02;2015;12;1;01;003;99;001156;00000122;000
02;2015;12;1;01;003;99;001279;00000000;000
02;2015;12;1;01;003;99;001381;00000000;000
02;2015;12;1;01;004;99;000025;00000297;000
02;2015;12;1;01;004;99;000049;00000121;000
02;2015;12;1;01;004;99;000059;00000065;000
02;2015;12;1;01;004;99;000170;00000034;000
02;2015;12;1;01;004;99;000231;00000193;000
02;2015;12;1;01;004;99;000596;00000000;000
02;2015;12;1;01;004;99;000610;00000002;000
02;2015;12;1;01;004;99;000682;00000020;000
