TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2011;05;092093;IIV-AM;INDEPENDENTS PER IVARS I VALLVERD-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;092063;PM;INDEPENDENTS PER CLARIANA DE CARDENER-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;122443;IVCC;IZQUIERDA CONTRA LA CORRUPCION;002443;002443;002443
04;2011;05;093310;PFyV;PARTIT Família i Vida;003309;003309;002982
04;2011;05;011174;CDeI;CIUDADANOS DEMOCRATAS E INDEPENDIENTES;001174;001174;001174
04;2011;05;092112;PM;INDEPENDENTS PER LLADORRE - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;120280;AVE;AGRUPACION DE VECINOS DE VENTURADA;000280;000280;000280
04;2011;05;003507;+RE@CIN;REGIONALISTAS CANTABROS INDEPENDIENTES;003507;003507;003507
04;2011;05;012863;PA-EP-AND;PARTIDO ANDALUCISTA-ESPACIO PLURAL ANDALUZ;002831;002831;002831
04;2011;05;091541;PM;ESPINELVES, UN POBLE-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;002785;NEC;NUEVO ESPACIO CIUDADANO;002785;002785;002785
04;2011;05;003741;UVPR;UNION DE VECINOS DE POZUELO DEL REY;003741;003741;003741
04;2011;05;093475;PM;PROGRÉS PER ARTÉS-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;001104;CIPB;CANDIDATURA INDEPENDIENTE POR PEDRO BERNARDO;001104;001104;001104
04;2011;05;092124;IM-PM;INDEPENDENTS PER MASSOTERES-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;093302;PSC-UPTA-PM;PARTIT DELS SOCIALISTES DE CATALUNYA - UNIÓ PER LA TERRA ALTA - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;043339;PSM- EN;PARTIT SOCIALISTA DE MENORCA-ENTESA NACIONALISTA;003340;003340;003340
04;2011;05;171876;GIMV;GRUPO INDEPENDIENTE MONOVERO;001876;001876;001876
04;2011;05;002450;I.I.-I.POR SAN SEBASTIAN DE LOS REYES;IZQUIERDA INDEPENDIENTE-INICIATIVA POR SAN SEBASTIAN DE LOS REYES;002450;002450;002450
04;2011;05;001678;E.A.-S. V.;EUSKO ALKARTASUNA -SOLIDARIDAD VASCA;001678;001678;001678
04;2011;05;003863;UNTZUE BIZIRIK;UNTZUE BIZIRIK;003863;003863;003863
04;2011;05;130577;A. OIHANA ELKARTALDEA;AGRUPACION OIHANA ELKARTALDEA;000577;000577;000577
04;2011;05;102552;IU-V-SIEX;IZQUIERDA UNIDA VERDES (SIEX);002554;002554;002453
04;2011;05;090719;AM-CUP;ALTERNATIVA MARTINENCA- CANDIDATURA D'UNITAT POPULAR;001051;001051;001051
04;2011;05;092220;IUSF;INDEPENDENTS UNITS PER SANT FOST;002220;002220;002220
04;2011;05;010267;ADIA;AGRUPACION DEMOCRATICA INDEPENDIENTE ANDALUCIA;000267;000267;000267
04;2011;05;001663;EU-IU;ESQUERRA UNIDA-IZQUIERDA UNIDA;001663;001663;002453
04;2011;05;011880;GICAR;GRUPO INDEPENDIENTE POR CARBONERAS;001880;001880;001880
04;2011;05;053780;UPyD;UNION PROGRESO Y DEMOCRACIA;003780;003780;003780
04;2011;05;002801;O.I.V.;ORGANIZACION INDEPENDIENTE VALENCIANA;002801;002801;002801
04;2011;05;001783;G x C;GENT PER CABRERA;001783;001783;001783
04;2011;05;001168;CSLPF;CIUDADANOS DE LA POBLA DE FARNALS;001168;001168;001168
04;2011;05;093472;PM;PROGRÉS MUNICIPALS PER CAMARLES I LLIGALLOS - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;002815;AIVZ;PARTIDO ALTERNATIVA INDEPENDIENTE VALLE DEL ZALABI;002815;002815;002815
04;2011;05;171477;VERDS-EUPV;ELS VERDS - ESQUERRA UNIDA PAÍS VALENCIÀ;001657;001657;002453
04;2011;05;093824;PM;UNITAT PER MASSANES-PROGRÈS MUNICIPAL (PM);003279;003279;003186
04;2011;05;152673;LV-ECOLO;LOS VERDES DE LA REGION DE MURCIA;001446;001446;001446
04;2011;05;173021;PIREE;INDEPENDIENTS - RESIDENTES EUROPEOS DE ELS POBLETS.;003021;003021;003021
04;2011;05;093325;P.O.I.;PARTIT OLESA INDEPENDENTS;003325;003325;003325
04;2011;05;000384;a.i.a.;AGRUPACION INDEPENDIENTE DE ALBERIC;000384;000384;000384
04;2011;05;001187;CIT;CIUDADANOS INDEPENDIENTES DE TABERNAS;001187;001187;001187
