TIPO_ELECCION;ANIO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;MUNICIPIO;COD_DIST_ELEC;COD_PART_JUD;COD_DIP_PROV;COD_COM;POBLACION_DER;N_MESAS;CENSO;CENSO_ESCR;CENSO_CERE;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;ESCANIOS;VOTOS_REFR_SI;VOTOS_REFR_NO;DATOS_OFIC
04;2011;05;1;01;04;001;99;Abla;0;013;013;000;00001463;00002;00001147;00001147;00000009;00000000;00000534;00000763;00000006;00000007;00000919;009;00000000;00000000;S
04;2011;05;1;01;04;002;99;Abrucena;0;013;013;000;00001367;00002;00001166;00001166;00000013;00000000;00000529;00000821;00000002;00000008;00001015;009;00000000;00000000;S
04;2011;05;1;01;04;003;99;Adra;0;029;029;000;00024512;00031;00017363;00017363;00000143;00000000;00005963;00008007;00000190;00000131;00010774;021;00000000;00000000;S
04;2011;05;1;01;04;004;99;Albánchez;0;053;053;000;00000814;00001;00000631;00000632;00000163;00000000;00000339;00000000;00000019;00000002;00000485;007;00000000;00000000;S
04;2011;05;1;01;04;005;99;Alboloduy;0;013;013;000;00000667;00001;00000653;00000653;00000011;00000000;00000306;00000453;00000008;00000007;00000580;007;00000000;00000000;S
04;2011;05;1;01;04;006;99;Albox;0;053;053;000;00011042;00014;00007757;00007757;00000607;00000000;00001885;00001987;00000115;00000038;00005400;017;00000000;00000000;S
04;2011;05;1;01;04;007;99;Alcolea;0;013;013;000;00000902;00001;00000800;00000800;00000005;00000000;00000416;00000000;00000001;00000004;00000672;007;00000000;00000000;S
04;2011;05;1;01;04;008;99;Alcóntar;0;053;053;000;00000598;00002;00000546;00000546;00000008;00000000;00000270;00000385;00000002;00000004;00000486;007;00000000;00000000;S
04;2011;05;1;01;04;010;99;Alhabia;0;013;013;000;00000718;00001;00000616;00000616;00000008;00000000;00000343;00000457;00000005;00000001;00000519;007;00000000;00000000;S
04;2011;05;1;01;04;011;99;Alhama de Almería;0;013;013;000;00003824;00005;00002858;00002858;00000069;00000000;00001527;00000000;00000015;00000018;00002477;011;00000000;00000000;S
04;2011;05;1;01;04;012;99;Alicún;0;013;013;000;00000253;00001;00000238;00000238;00000001;00000000;00000127;00000000;00000000;00000001;00000229;007;00000000;00000000;S
04;2011;05;1;01;04;013;99;Almería;0;013;013;000;00190013;00240;00137147;00137171;00000552;00000000;00045323;00058461;00001784;00001054;00074775;027;00000000;00000000;S
04;2011;05;1;01;04;016;99;Antas;0;100;100;000;00003389;00004;00002286;00002286;00000090;00000000;00000980;00000000;00000029;00000020;00001824;011;00000000;00000000;S
04;2011;05;1;01;04;017;99;Arboleas;0;053;053;000;00004731;00005;00002627;00002627;00001302;00000000;00001159;00000000;00000013;00000008;00001817;011;00000000;00000000;S
04;2011;05;1;01;04;018;99;Armuña de Almanzora;0;053;053;000;00000339;00001;00000299;00000299;00000005;00000000;00000170;00000219;00000005;00000008;00000245;007;00000000;00000000;S
04;2011;05;1;01;04;019;99;Bacares;0;053;053;000;00000274;00001;00000274;00000274;00000001;00000000;00000127;00000000;00000004;00000002;00000235;007;00000000;00000000;S
04;2011;05;1;01;04;020;99;Bayárcal;0;013;013;000;00000358;00001;00000369;00000369;00000004;00000000;00000176;00000000;00000000;00000005;00000338;007;00000000;00000000;S
04;2011;05;1;01;04;022;99;Bédar;0;100;100;000;00001039;00001;00000636;00000636;00000263;00000000;00000312;00000000;00000004;00000004;00000470;009;00000000;00000000;S
04;2011;05;1;01;04;024;99;Benahadux;0;013;013;000;00004059;00005;00003038;00003038;00000022;00000000;00001682;00000000;00000033;00000010;00002559;011;00000000;00000000;S
04;2011;05;1;01;04;027;99;Benizalón;0;013;013;000;00000286;00001;00000271;00000271;00000011;00000000;00000123;00000180;00000000;00000000;00000226;007;00000000;00000000;S
04;2011;05;1;01;04;028;99;Bentarique;0;013;013;000;00000280;00001;00000243;00000243;00000004;00000000;00000172;00000000;00000001;00000003;00000225;007;00000000;00000000;S
04;2011;05;1;01;04;029;99;Berja;0;029;029;000;00015325;00022;00010825;00010825;00000156;00000000;00004047;00000555;00000078;00000087;00007530;017;00000000;00000000;S
04;2011;05;1;01;04;030;99;Canjáyar;0;013;013;000;00001490;00002;00001248;00001268;00000016;00000000;00000577;00000000;00000011;00000011;00000975;009;00000000;00000000;S
04;2011;05;1;01;04;031;99;Cantoria;0;053;053;000;00004001;00006;00002941;00002942;00000436;00000000;00001312;00000000;00000019;00000015;00002322;011;00000000;00000000;S
04;2011;05;1;01;04;032;99;Carboneras;0;100;100;000;00008123;00011;00005632;00005632;00000165;00000000;00002420;00000837;00000043;00000031;00004590;013;00000000;00000000;S
04;2011;05;1;01;04;035;99;Cuevas del Almanzora;0;100;100;000;00012891;00016;00008496;00008498;00000392;00000000;00003530;00000608;00000054;00000059;00006155;017;00000000;00000000;S
04;2011;05;1;01;04;036;99;Chercos;0;053;053;000;00000287;00001;00000261;00000261;00000014;00000000;00000123;00000000;00000004;00000000;00000229;007;00000000;00000000;S
04;2011;05;1;01;04;037;99;Chirivel;0;053;053;000;00001852;00004;00001481;00001481;00000079;00000000;00000599;00000000;00000013;00000012;00001146;009;00000000;00000000;S
04;2011;05;1;01;04;038;99;Dalías;0;029;029;000;00003983;00005;00003152;00003152;00000015;00000000;00001427;00001240;00000044;00000028;00002482;011;00000000;00000000;S
04;2011;05;1;01;04;041;99;Enix;0;013;013;000;00000469;00001;00000373;00000374;00000039;00000000;00000200;00000256;00000002;00000001;00000317;007;00000000;00000000;S
04;2011;05;1;01;04;043;99;Felix;0;013;013;000;00000643;00001;00000560;00000560;00000037;00000000;00000315;00000425;00000004;00000006;00000487;007;00000000;00000000;S
04;2011;05;1;01;04;044;99;Fines;0;053;053;000;00002434;00003;00001681;00001681;00000154;00000000;00000860;00001197;00000024;00000010;00001416;011;00000000;00000000;S
04;2011;05;1;01;04;045;99;Fiñana;0;013;013;000;00002432;00003;00001909;00001909;00000019;00000000;00000769;00001190;00000009;00000016;00001479;011;00000000;00000000;S
04;2011;05;1;01;04;046;99;Fondón;0;013;013;000;00000989;00002;00000826;00000826;00000003;00000000;00000351;00000531;00000016;00000005;00000693;007;00000000;00000000;S
04;2011;05;1;01;04;047;99;Gádor;0;013;013;000;00003225;00004;00002383;00002383;00000077;00000000;00001429;00001742;00000022;00000030;00002064;011;00000000;00000000;S
04;2011;05;1;01;04;048;99;Gallardos (Los);0;100;100;000;00003828;00004;00001870;00001870;00000410;00000000;00000857;00001139;00000010;00000016;00001357;011;00000000;00000000;S
04;2011;05;1;01;04;049;99;Garrucha;0;100;100;000;00008441;00008;00005092;00005092;00000188;00000000;00002046;00003112;00000090;00000057;00003699;013;00000000;00000000;S
04;2011;05;1;01;04;050;99;Gérgal;0;013;013;000;00001099;00002;00000861;00000861;00000033;00000000;00000386;00000509;00000007;00000005;00000735;009;00000000;00000000;S
04;2011;05;1;01;04;051;99;Huécija;0;013;013;000;00000543;00001;00000472;00000472;00000002;00000000;00000267;00000385;00000008;00000000;00000440;007;00000000;00000000;S
04;2011;05;1;01;04;052;99;Huércal de Almería;0;013;013;000;00015628;00020;00011501;00011504;00000040;00000000;00003681;00005304;00000191;00000079;00006911;017;00000000;00000000;S
04;2011;05;1;01;04;053;99;Huércal-Overa;0;053;053;000;00018278;00024;00012322;00012329;00000319;00000000;00004940;00007180;00000185;00000112;00008973;017;00000000;00000000;S
04;2011;05;1;01;04;054;99;Illar;0;013;013;000;00000421;00001;00000405;00000405;00000007;00000000;00000246;00000289;00000005;00000004;00000349;007;00000000;00000000;S
04;2011;05;1;01;04;055;99;Instinción;0;013;013;000;00000485;00001;00000430;00000430;00000010;00000000;00000232;00000316;00000001;00000001;00000382;007;00000000;00000000;S
04;2011;05;1;01;04;057;99;Láujar de Andarax;0;013;013;000;00001799;00003;00001479;00001479;00000009;00000000;00000594;00000935;00000012;00000021;00001190;009;00000000;00000000;S
04;2011;05;1;01;04;058;99;Líjar;0;053;053;000;00000514;00001;00000418;00000420;00000015;00000000;00000179;00000272;00000005;00000001;00000379;007;00000000;00000000;S
04;2011;05;1;01;04;059;99;Lubrín;0;100;100;000;00001764;00003;00001341;00001341;00000103;00000000;00000597;00000900;00000010;00000009;00001064;009;00000000;00000000;S
04;2011;05;1;01;04;060;99;Lucainena de las Torres;0;013;013;000;00000671;00001;00000518;00000518;00000036;00000000;00000256;00000354;00000004;00000006;00000415;007;00000000;00000000;S
04;2011;05;1;01;04;061;99;Lúcar;0;053;053;000;00000885;00001;00000711;00000711;00000034;00000000;00000327;00000485;00000003;00000002;00000626;007;00000000;00000000;S
04;2011;05;1;01;04;062;99;Macael;0;053;053;000;00006120;00007;00004631;00004632;00000014;00000000;00002374;00003136;00000044;00000029;00003909;013;00000000;00000000;S
04;2011;05;1;01;04;063;99;María;0;053;053;000;00001455;00002;00001215;00001215;00000003;00000000;00000506;00000807;00000006;00000009;00000977;009;00000000;00000000;S
04;2011;05;1;01;04;064;99;Mojácar;0;100;100;000;00007745;00007;00004144;00004144;00001576;00000000;00001435;00001997;00000016;00000018;00002813;013;00000000;00000000;S
04;2011;05;1;01;04;065;99;Nacimiento;0;013;013;000;00000486;00001;00000398;00000398;00000008;00000000;00000218;00000287;00000003;00000004;00000329;007;00000000;00000000;S
04;2011;05;1;01;04;066;99;Níjar;0;013;013;000;00028242;00027;00014362;00014376;00000827;00000000;00005362;00007610;00000107;00000043;00009464;021;00000000;00000000;S
04;2011;05;1;01;04;067;99;Ohanes;0;013;013;000;00000761;00001;00000673;00000673;00000003;00000000;00000302;00000458;00000006;00000006;00000548;007;00000000;00000000;S
04;2011;05;1;01;04;069;99;Olula del Río;0;053;053;000;00006733;00010;00004763;00004761;00000035;00000000;00001764;00002492;00000047;00000050;00003803;013;00000000;00000000;S
04;2011;05;1;01;04;070;99;Oria;0;053;053;000;00002888;00004;00001873;00001873;00000204;00000000;00000724;00001078;00000008;00000011;00001527;011;00000000;00000000;S
04;2011;05;1;01;04;071;99;Padules;0;013;013;000;00000502;00001;00000460;00000460;00000011;00000000;00000259;00000322;00000008;00000005;00000374;007;00000000;00000000;S
04;2011;05;1;01;04;072;99;Partaloa;0;053;053;000;00000898;00001;00000617;00000620;00000286;00000000;00000341;00000451;00000002;00000005;00000510;007;00000000;00000000;S
04;2011;05;1;01;04;073;99;Paterna del Río;0;013;013;000;00000449;00001;00000386;00000386;00000002;00000000;00000223;00000281;00000004;00000003;00000323;007;00000000;00000000;S
