TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
04;2011;05;1;01;001;99;140385;00000372;004
04;2011;05;1;01;001;99;140899;00000370;003
04;2011;05;1;01;001;99;141685;00000252;002
04;2011;05;1;01;001;99;141692;00000028;000
04;2011;05;1;01;001;99;143077;00000127;001
04;2011;05;1;01;001;99;143168;00000117;001
04;2011;05;1;01;002;99;140896;00001940;007
04;2011;05;1;01;002;99;141683;00002126;007
04;2011;05;1;01;002;99;143076;00000602;002
04;2011;05;1;01;002;99;143163;00000534;001
04;2011;05;1;01;002;99;143438;00000098;000
04;2011;05;1;01;003;99;140811;00000177;002
04;2011;05;1;01;003;99;140899;00000538;006
04;2011;05;1;01;003;99;141682;00000142;001
04;2011;05;1;01;003;99;143077;00000003;000
04;2011;05;1;01;003;99;143168;00000008;000
04;2011;05;1;01;004;99;140896;00000335;003
04;2011;05;1;01;004;99;141683;00000424;004
04;2011;05;1;01;004;99;143076;00000178;002
04;2011;05;1;01;004;99;143163;00000049;000
04;2011;05;1;01;008;99;140899;00000166;002
04;2011;05;1;01;008;99;141685;00000178;003
04;2011;05;1;01;008;99;143077;00000091;001
04;2011;05;1;01;008;99;143168;00000079;001
04;2011;05;1;01;009;99;140809;00000054;000
04;2011;05;1;01;009;99;140899;00000455;006
04;2011;05;1;01;009;99;141076;00000203;002
04;2011;05;1;01;009;99;141685;00000151;001
04;2011;05;1;01;009;99;143077;00000026;000
04;2011;05;1;01;009;99;143168;00000020;000
04;2011;05;1;01;010;99;140644;00000314;002
04;2011;05;1;01;010;99;140896;00000591;004
04;2011;05;1;01;010;99;141683;00000477;004
04;2011;05;1;01;010;99;143076;00000160;001
04;2011;05;1;01;010;99;143166;00000052;000
04;2011;05;1;01;011;99;141685;00000063;002
04;2011;05;1;01;011;99;143077;00000109;004
04;2011;05;1;01;011;99;143168;00000036;001
04;2011;05;1;01;013;99;140899;00000206;004
04;2011;05;1;01;013;99;141681;00000172;003
04;2011;05;1;01;013;99;143077;00000046;000
04;2011;05;1;01;013;99;143168;00000024;000
04;2011;05;1;01;014;99;140705;00000147;003
04;2011;05;1;01;014;99;141685;00000119;003
04;2011;05;1;01;014;99;143077;00000045;001
04;2011;05;1;01;014;99;143168;00000007;000
04;2011;05;1;01;016;99;141685;00000146;005
04;2011;05;1;01;016;99;143077;00000061;002
04;2011;05;1;01;016;99;143168;00000012;000
04;2011;05;1;01;017;99;140899;00000187;003
